Date,medtecs,sti,topglove
2016-06-28,0.048,2.86,0.8175
2016-06-29,0.048,2.88,0.8175
2016-06-30,0.049,2.93,0.8
2016-07-01,0.049,2.9,0.8
2016-07-04,0.052,2.93,0.81
2016-07-05,0.05,2.92,0.81
2016-07-07,0.05,2.93,0.81
2016-07-08,0.05,2.91,0.8
2016-07-11,0.05,2.93,0.7925
2016-07-12,0.051,2.96,0.795
2016-07-13,0.05,2.96,0.7875
2016-07-14,0.05,2.97,0.7875
2016-07-15,0.049,2.99,0.78
2016-07-18,0.048,3.0,0.775
2016-07-19,0.05,2.97,0.7775
2016-07-20,0.049,3.0,0.7725
2016-07-21,0.049,3.0,0.765
2016-07-22,0.049,2.99,0.765
2016-07-25,0.049,3.0,0.75
2016-07-26,0.049,2.99,0.755
2016-07-27,0.049,2.99,0.775
2016-07-28,0.048,2.97,0.775
2016-07-29,0.047,2.93,0.775
2016-08-01,0.047,2.95,0.75
2016-08-02,0.047,2.93,0.745
2016-08-03,0.047,2.88,0.75
2016-08-04,0.047,2.93,0.745
2016-08-05,0.047,2.92,0.75
2016-08-08,0.046,2.97,0.775
2016-08-10,0.047,2.97,0.775
2016-08-11,0.047,2.95,0.7775
2016-08-12,0.047,2.95,0.775
2016-08-15,0.047,2.96,0.775
2016-08-16,0.047,2.96,0.775
2016-08-17,0.047,2.95,0.775
2016-08-18,0.047,2.94,0.775
2016-08-19,0.049,2.95,0.775
2016-08-22,0.048,2.95,0.775
2016-08-23,0.048,2.95,0.77
2016-08-24,0.049,2.97,0.77
2016-08-25,0.051,2.98,0.765
2016-08-26,0.053,2.97,0.76
2016-08-29,0.051,2.94,0.765
2016-08-30,0.05,2.93,0.745
2016-08-31,0.049,2.93,0.74
2016-09-01,0.05,2.92,0.74
2016-09-02,0.048,2.91,0.755
2016-09-05,0.048,2.96,0.7575
2016-09-06,0.05,2.99,0.76
2016-09-07,0.048,3.0,0.76
2016-09-08,0.048,3.0,0.775
2016-09-09,0.048,2.96,0.775
2016-09-13,0.047,2.92,0.785
2016-09-14,0.047,2.93,0.785
2016-09-15,0.047,2.9,0.775
2016-09-16,0.047,2.93,0.775
2016-09-19,0.047,2.95,0.765
2016-09-21,0.049,2.95,0.775
2016-09-22,0.048,2.95,0.785
2016-09-23,0.048,2.96,0.785
2016-09-26,0.048,2.95,0.775
2016-09-27,0.051,2.95,0.79
2016-09-28,0.051,2.96,0.79
2016-09-29,0.051,2.99,0.79
2016-09-30,0.049,2.97,0.81
2016-10-03,0.05,2.97,0.815
2016-10-04,0.049,2.99,0.815
2016-10-05,0.049,2.99,0.815
2016-10-06,0.05,3.0,0.79
2016-10-07,0.05,2.98,0.79
2016-10-10,0.051,2.98,0.79
2016-10-11,0.05,2.95,0.79
2016-10-12,0.05,2.92,0.8
2016-10-13,0.048,2.89,0.8
